time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-07-27T15:26:31.020Z,19.4125,-155.2656667,0.35,3.6,ml,25,70,0.00548,0.09,hv,hv70484402,2019-06-21T19:16:03.689Z,"4 km SW of Volcano, Hawaii",earthquake,0.11,0.09,0.157,25,reviewed,hv,hv
2018-07-11T05:07:14.740Z,19.404,-155.2738333,-0.73,3.59,ml,26,35,0.008589,0.11,hv,hv70395731,2018-10-02T16:40:33.040Z,"5 km SW of Volcano, Hawaii",earthquake,0.07,0.11,0.232,3,reviewed,hv,hv
2018-07-24T09:55:42.890Z,19.4141667,-155.2625,0.41,3.59,ml,32,55,0.003226,0.11,hv,hv70469097,2019-06-01T01:04:48.803Z,"4 km SW of Volcano, Hawaii",earthquake,0.14,0.11,0.216,10,reviewed,hv,hv
2018-07-11T05:07:04.250Z,19.4146667,-155.2771667,0.65,3.58,ml,27,51,0.007188,0.09,hv,hv70395726,2018-10-02T16:40:33.040Z,"5 km SW of Volcano, Hawaii",earthquake,0.13,0.11,0.169,24,reviewed,hv,hv
2018-07-14T03:00:53.710Z,19.4131667,-155.2663333,0.28,3.57,ml,24,72,0.006188,0.12,hv,hv70419417,2018-10-02T16:40:40.040Z,"4 km SW of Volcano, Hawaii",earthquake,0.12,0.11,0.151,47,reviewed,hv,hv
2018-07-22T17:17:39.950Z,19.414,-155.283,0.34,3.57,ml,18,66,0.003787,0.12,hv,hv70460937,2018-10-04T14:15:29.040Z,"6 km WSW of Volcano, Hawaii",earthquake,0.2,0.26,0.292,8,reviewed,hv,hv
2018-07-23T00:17:25.720Z,19.4131667,-155.2753333,0.47,3.57,ml,22,43,0.009403,0.08,hv,hv70462282,2018-10-09T16:43:21.040Z,"5 km SW of Volcano, Hawaii",earthquake,0.16,0.17,0.172,44,reviewed,hv,hv
2018-07-26T01:57:16.390Z,19.3995,-155.2645,-0.27,3.57,ml,23,73,0.001912,0.12,hv,hv70477012,2018-10-09T16:43:23.040Z,"5 km SW of Volcano, Hawaii",earthquake,0.15,0.15,0.151,27,reviewed,hv,hv
2018-07-12T18:04:46.970Z,19.3995,-155.2658333,0.04,3.56,ml,32,52,0.001265,0.13,hv,hv70413092,2018-10-02T16:40:36.040Z,"5 km SW of Volcano, Hawaii",earthquake,0.15,0.11,0.168,19,reviewed,hv,hv
2018-07-16T19:12:56.720Z,19.4013333,-155.2688333,0.27,3.56,ml,22,65,0.004056,0.1,hv,hv70432352,2018-10-04T14:15:25.040Z,"5 km SW of Volcano, Hawaii",earthquake,0.13,0.12,0.096,9,reviewed,hv,hv
2018-07-19T14:39:59.020Z,19.4153333,-155.276,0.53,3.56,ml,25,45,0.007986,0.1,hv,hv70445832,2018-10-04T14:15:27.040Z,"5 km SW of Volcano, Hawaii",earthquake,0.13,0.11,0.184,24,reviewed,hv,hv
2018-08-04T11:14:53.490Z,19.4146667,-155.2603333,0.15,3.56,ml,26,96,0.002602,0.18,hv,hv70520562,2018-09-20T02:57:22.563Z,"4 km SW of Volcano, Hawaii",earthquake,0.18,0.15,0.122,4,reviewed,hv,hv
2018-07-19T22:41:00.150Z,19.4106667,-155.2818333,0.29,3.55,ml,29,48,0.007279,0.08,hv,hv70447367,2018-10-04T14:15:27.040Z,"6 km SW of Volcano, Hawaii",earthquake,0.15,0.15,0.196,16,reviewed,hv,hv
2018-07-21T06:51:09.040Z,19.3976667,-155.2793333,0.22,3.55,ml,24,39,0.005838,0.1,hv,hv70453812,2018-10-04T14:15:28.040Z,"6 km SW of Volcano, Hawaii",earthquake,0.12,0.15,0.157,13,reviewed,hv,hv
2018-07-21T09:59:17.940Z,19.4111667,-155.2738333,0.37,3.55,ml,49,29,0.01164,0.09,hv,hv70454487,2019-04-10T21:37:42.644Z,"5 km SW of Volcano, Hawaii",earthquake,0.1,0.09,0.192,17,reviewed,hv,hv
2018-07-24T11:06:04.180Z,19.3973333,-155.2683333,0.29,3.55,ml,25,41,0.002353,0.13,hv,hv70469347,2021-02-19T17:53:22.451Z,"6 km SW of Volcano, Hawaii",earthquake,0.16,0.14,0.116,27,reviewed,hv,hv
2018-07-14T05:07:55.810Z,19.3975,-155.2905,0.77,3.54,ml,25,56,0.008155,0.1,hv,hv70419867,2018-10-02T16:40:45.040Z,"7 km SW of Volcano, Hawaii",earthquake,0.14,0.14,0.177,43,reviewed,hv,hv
2018-07-14T22:13:26.400Z,19.4116667,-155.2751667,0.36,3.54,ml,38,36,0.01033,0.07,hv,hv70423337,2018-10-02T16:40:30.040Z,"5 km SW of Volcano, Hawaii",earthquake,0.1,0.09,0.18,18,reviewed,hv,hv
2018-07-21T19:39:38.210Z,19.4146667,-155.2786667,0.63,3.54,ml,22,55,0.005928,0.07,hv,hv70456672,2022-08-08T06:19:03.793Z,"5 km WSW of Volcano, Hawaii",earthquake,0.18,0.17,0.154,45,reviewed,hv,hv
2018-08-02T21:46:34.740Z,19.4175,-155.2705,0.3,3.54,ml,23,45,0.00984,0.08,hv,hv70513657,2018-10-16T15:34:07.040Z,"4 km SW of Volcano, Hawaii",earthquake,0.15,0.15,0.196,13,reviewed,hv,hv
2018-08-02T10:21:13.460Z,19.4136667,-155.2658333,0.44,3.53,ml,16,78,0.005837,0.08,hv,hv70511562,2018-10-16T15:34:07.040Z,"4 km SW of Volcano, Hawaii",earthquake,0.19,0.2,0.191,18,reviewed,hv,hv
2018-07-19T04:36:06.070Z,19.399,-155.2681667,0.18,3.53,ml,37,45,0.002151,0.11,hv,hv70443772,2019-02-07T23:58:53.605Z,"6 km SW of Volcano, Hawaii",earthquake,0.13,0.1,0.239,18,reviewed,hv,hv
2018-07-28T00:52:57.710Z,19.4101667,-155.2691667,0.76,3.53,ml,34,39,0.008974,0.08,hv,hv70486252,2019-01-31T02:50:27.026Z,"5 km SW of Volcano, Hawaii",earthquake,0.13,0.14,0.122,17,reviewed,hv,hv
2018-07-12T18:03:51.880Z,19.406,-155.2851667,1.06,3.52,ml,45,25,0.01164,0.11,hv,hv70413087,2019-02-12T23:58:26.883Z,"6 km SW of Volcano, Hawaii",earthquake,0.14,0.11,0.241,21,reviewed,hv,hv
2018-07-17T16:45:34.510Z,19.413,-155.2626667,0.32,3.52,ml,28,77,0.002785,0.09,hv,hv70436572,2021-07-14T21:05:59.442Z,"4 km SW of Volcano, Hawaii",earthquake,0.16,0.12,0.147,42,reviewed,hv,hv
2018-07-26T18:56:48.930Z,19.4156667,-155.2631667,0.24,3.52,ml,31,67,0.004725,0.12,hv,hv70480422,2018-10-09T16:43:24.040Z,"4 km SW of Volcano, Hawaii",earthquake,0.13,0.1,0.175,51,reviewed,hv,hv
2018-07-11T08:49:24.520Z,19.4163333,-155.2773333,0.55,3.51,ml,29,52,0.006519,0.08,hv,hv70396511,2018-10-02T16:40:34.040Z,"5 km WSW of Volcano, Hawaii",earthquake,0.12,0.09,0.17,23,reviewed,hv,hv
2018-07-21T03:12:24.300Z,19.4166667,-155.2768333,0.74,3.51,ml,36,42,0.006927,0.09,hv,hv70453127,2018-10-04T14:15:28.040Z,"5 km WSW of Volcano, Hawaii",earthquake,0.15,0.1,0.171,46,reviewed,hv,hv
2018-07-13T00:27:33.940Z,19.2221666666667,-155.5675,7.41,3.48,ml,10,156,,0.15,hv,hv70414292,2023-09-07T18:18:21.650Z,"9 km WNW of Pāhala, Hawaii",earthquake,0.61,1.18,0.19251126606567,8,reviewed,hv,hv
2018-07-19T03:02:33.850Z,19.3975,-155.269,0.28,3.48,ml,24,48,0.002897,0.09,hv,hv70443507,2018-10-04T14:15:26.040Z,"6 km SW of Volcano, Hawaii",earthquake,0.12,0.13,0.216,11,reviewed,hv,hv
2018-07-15T10:07:29.660Z,19.4131667,-155.2635,0.57,3.47,ml,37,72,0.003584,0.12,hv,hv70425922,2021-02-19T17:38:36.713Z,"4 km SW of Volcano, Hawaii",earthquake,0.16,0.13,0.172,48,reviewed,hv,hv
2018-07-18T05:34:59.830Z,19.3995,-155.2908333,0.93,3.47,ml,22,54,0.009908,0.08,hv,hv70439222,2019-10-22T01:28:48.740Z,"7 km SW of Volcano, Hawaii",earthquake,0.16,0.16,0.138,16,reviewed,hv,hv
2018-07-26T18:56:34.350Z,19.403,-155.272,1.6,3.47,ml,24,46,0.007358,0.09,hv,hv70480417,2018-10-09T16:43:24.040Z,"5 km SW of Volcano, Hawaii",earthquake,0.2,0.22,0.145,18,reviewed,hv,hv
2018-07-31T00:43:03.850Z,19.4148333,-155.2778333,0.38,3.47,ml,25,53,0.006547,0.11,hv,hv70500202,2022-08-08T06:42:21.367Z,"5 km SW of Volcano, Hawaii",earthquake,0.14,0.12,0.168,43,reviewed,hv,hv
2018-08-04T20:56:09.890Z,19.3898333,-155.268,0.3,3.47,ml,26,69,0.007661,0.1,hv,hv70522347,2022-08-08T06:51:50.094Z,"6 km SSW of Volcano, Hawaii",earthquake,0.13,0.12,0.158,20,reviewed,hv,hv
2018-07-21T11:52:43.600Z,19.4165,-155.28,0.26,3.46,ml,26,50,0.004036,0.12,hv,hv70454887,2018-08-24T02:09:56.902Z,"5 km WSW of Volcano, Hawaii",earthquake,0.13,0.13,0.197,39,reviewed,hv,hv
2018-07-11T12:31:00.420Z,19.3995,-155.2855,-1,3.45,ml,47,28,0.01192,0.15,hv,hv70397321,2018-10-02T16:40:34.040Z,"7 km SW of Volcano, Hawaii",earthquake,0.09,0.15,0.192,43,reviewed,hv,hv
2018-07-12T22:40:02.750Z,19.4005,-155.266,0.33,3.45,md,29,63,,0.18,hv,hv70413977,2023-09-07T00:29:05.710Z,"5 km SW of Volcano, Hawaii",earthquake,0.17,0.19,0.10682989456346,6,reviewed,hv,hv
2018-07-24T07:40:28.360Z,19.4111667,-155.2895,0.78,3.45,ml,23,66,0.008231,0.14,hv,hv70468642,2018-10-09T16:43:22.040Z,"6 km WSW of Volcano, Hawaii",earthquake,0.19,0.1,0.22,26,reviewed,hv,hv
2018-07-19T13:22:27.130Z,19.416,-155.2635,0.29,3.44,ml,22,84,0.005181,0.12,hv,hv70445552,2018-10-04T14:15:27.040Z,"4 km SW of Volcano, Hawaii",earthquake,0.15,0.14,0.185,20,reviewed,hv,hv
2018-07-24T13:07:28.380Z,19.4105,-155.2638333,0.29,3.44,ml,24,54,0.004054,0.08,hv,hv70469777,2018-10-09T16:43:22.040Z,"4 km SW of Volcano, Hawaii",earthquake,0.13,0.13,0.164,40,reviewed,hv,hv
2018-07-27T22:59:17.860Z,19.416,-155.2775,0.87,3.44,ml,27,53,0.006442,0.07,hv,hv70485932,2018-10-09T16:43:25.040Z,"5 km WSW of Volcano, Hawaii",earthquake,0.14,0.09,0.158,49,reviewed,hv,hv
2018-08-04T11:13:12.270Z,19.4161667,-155.2738333,0.74,3.44,ml,23,38,0.009252,0.11,hv,hv70520557,2018-10-16T15:34:08.040Z,"5 km SW of Volcano, Hawaii",earthquake,0.14,0.13,0.159,17,reviewed,hv,hv
2018-07-31T07:42:00.840Z,19.3988333,-155.2735,1.51,3.43,ml,35,38,0.00345,0.1,hv,hv70501657,2019-01-29T23:51:32.532Z,"6 km SW of Volcano, Hawaii",earthquake,0.17,0.14,0.136,14,reviewed,hv,hv
2018-08-04T16:20:54.080Z,19.37,-155.258333333333,0.2,3.43,ml,39,53,,0.1,hv,hv70521527,2022-05-24T19:04:59.690Z,"8 km SSW of Volcano, Hawaii",earthquake,0.13,0.14,0.151645180182693,16,reviewed,hv,hv
2018-07-21T16:10:23.490Z,19.4145,-155.278,0.45,3.43,ml,32,54,0.006558,0.11,hv,hv70455917,2018-10-04T14:15:29.040Z,"5 km SW of Volcano, Hawaii",earthquake,0.14,0.12,0.194,38,reviewed,hv,hv
2018-07-26T09:56:57.490Z,19.3955,-155.2676667,0.25,3.43,ml,23,57,0.003134,0.14,hv,hv70478562,2018-10-09T16:43:24.040Z,"6 km SW of Volcano, Hawaii",earthquake,0.13,0.11,0.135,15,reviewed,hv,hv
2018-07-30T16:12:37.360Z,19.4156667,-155.27,0.25,3.43,ml,26,49,0.0102,0.13,hv,hv70498482,2019-04-10T19:50:42.180Z,"4 km SW of Volcano, Hawaii",earthquake,0.14,0.13,0.313,19,reviewed,hv,hv
2018-07-11T00:55:54.330Z,19.4181667,-155.2763333,0.58,3.42,ml,54,32,0.006664,0.11,hv,hv70394856,2018-10-02T16:40:33.040Z,"5 km WSW of Volcano, Hawaii",earthquake,0.14,0.1,0.166,46,reviewed,hv,hv
2018-07-19T07:25:06.000Z,19.4133333,-155.2681667,0.16,3.42,ml,26,62,0.007922,0.11,hv,hv70444352,2018-07-20T02:22:40.440Z,"4 km SW of Volcano, Hawaii",earthquake,0.12,0.12,0.171,47,reviewed,hv,hv
2018-07-24T04:39:27.740Z,19.3975,-155.2726667,1.35,3.42,ml,38,42,0.002312,0.11,hv,hv70468037,2019-06-08T00:44:58.380Z,"6 km SW of Volcano, Hawaii",earthquake,0.14,0.12,0.151,12,reviewed,hv,hv
2018-07-28T03:02:42.920Z,19.417,-155.2783333,0.26,3.42,ml,23,56,0.00548,0.12,hv,hv70486652,2018-10-09T16:43:25.040Z,"5 km WSW of Volcano, Hawaii",earthquake,0.12,0.12,0.108,28,reviewed,hv,hv
2018-07-15T00:31:35.270Z,19.4128333,-155.2615,0.25,3.41,ml,42,36,0.001702,0.11,hv,hv70423852,2018-10-02T16:40:41.040Z,"4 km SW of Volcano, Hawaii",earthquake,0.11,0.08,0.175,45,reviewed,hv,hv
2018-07-16T06:00:43.230Z,19.2133333333333,-155.330833333333,14.08,3.41,ml,18,327,,0.26,hv,hv70429712,2023-09-21T19:03:16.350Z,"15 km E of Pāhala, Hawaii",earthquake,3.08,31.61,0.109723232693328,5,reviewed,hv,hv
2018-07-19T07:25:05.930Z,19.4128333,-155.2683333,-0.02,3.41,ml,25,60,0.008016,0.13,hv,hv70444347,2018-10-04T14:15:27.040Z,"4 km SW of Volcano, Hawaii",earthquake,0.12,0.13,0.161,48,reviewed,hv,hv
2018-07-22T22:43:15.150Z,19.4138333,-155.2635,0.58,3.41,ml,30,55,0.003835,0.11,hv,hv70461937,2018-10-04T14:15:29.040Z,"4 km SW of Volcano, Hawaii",earthquake,0.14,0.1,0.249,17,reviewed,hv,hv
2018-07-26T11:22:08.760Z,19.416,-155.277,0.65,3.41,ml,25,50,0.006899,0.09,hv,hv70478842,2018-10-09T16:43:24.040Z,"5 km WSW of Volcano, Hawaii",earthquake,0.14,0.11,0.173,21,reviewed,hv,hv
